no,name,attributes,type_name,form_name,hp,atk,matk,def,mdef,spd,trait_name,trait_desc,bloodline_skill_names,own_skill_names,skill_stone_names,strong_against,weak_against,resist,resisted,detail_url,image
NO.113,仪使者,地|幻,Ⅰ阶,原始形态,64,54,57,69,71,51,观星,敌方每有1层星陨印记，自己的地系技能威力+15%。,星星撞击|贪婪|升龙咆哮|麻痹|化劲|引燃|勾魂|徒长|霜降|假寐|虹光冲击|啮合传递|甜心续航|念力膨胀|跺地|毒孢子|蓄水|羽化加速,硬化|偷师|星轨裂变|热砂|魔法增效|落石|力量增效|不动如山|陨石|超新星馈赠|坍缩|钧势|沙涌|流沙|抛石|泥浆铠甲|徒长|引燃|蓄水|虹光冲击|跺地|霜降|升龙咆哮|麻痹|毒孢子|假寐|化劲|羽化加速|甜心续航|勾魂|贪婪|啮合传递|念力膨胀|防御|取念|鼓劲|晒太阳|蓄势待发|恶作剧|灵媒|灵光|嘲弄|空间压迫|四维降解|多维击打|超维投射|心灵洞悉|二律背反,二律背反|取念|嘲弄|四维降解|多维击打|应激反应|心灵洞悉|恶作剧|晒太阳|灵光|灵媒|空间压迫|蓄势待发|超维投射|防御|鼓劲,,草|水|冰|机械|幽|虫,普通|火|翼|电|毒|幻,,https://wiki.biligame.com/rocom/仪使者,https://lokewangguoshijie.com/pokemon/NO.113_仪使者.webp
NO.114,仪式之星,地|幻,Ⅱ阶,原始形态,85,72,76,92,95,68,观星,敌方每有1层星陨印记，自己的地系技能威力+15%。,星星撞击|贪婪|升龙咆哮|麻痹|化劲|引燃|勾魂|徒长|霜降|假寐|虹光冲击|啮合传递|甜心续航|念力膨胀|跺地|毒孢子|蓄水|羽化加速,硬化|偷师|星轨裂变|热砂|魔法增效|落石|力量增效|不动如山|陨石|超新星馈赠|坍缩|钧势|沙涌|流沙|抛石|泥浆铠甲|徒长|引燃|蓄水|虹光冲击|跺地|霜降|升龙咆哮|麻痹|毒孢子|假寐|化劲|羽化加速|甜心续航|勾魂|贪婪|啮合传递|念力膨胀|防御|取念|鼓劲|晒太阳|蓄势待发|恶作剧|灵媒|灵光|嘲弄|空间压迫|四维降解|多维击打|超维投射|心灵洞悉|二律背反|灵��,二律背反|取念|嘲弄|四维降解|多维击打|应激反应|心灵洞悉|恶作剧|晒太阳|灵光|灵媒|空间压迫|蓄势待发|超维投射|防御|鼓劲,,草|水|冰|机械|幽|虫,普通|火|翼|电|毒|幻,,https://wiki.biligame.com/rocom/仪式之星,https://lokewangguoshijie.com/pokemon/NO.114_仪式之星.webp
NO.115,仪式巨像,地|幻,最终形态,原始形态,106,90,95,115,119,85,观星,敌方每有1层星陨印记，自己的地系技能威力+15%。,星星撞击|贪婪|升龙咆哮|麻痹|化劲|引燃|勾魂|徒长|霜降|假寐|虹光冲击|啮合传递|甜心续航|念力膨胀|跺地|毒孢子|蓄水|羽化加速,硬化|偷师|星轨裂变|热砂|魔法增效|落石|力量增效|不动如山|陨石|超新星馈赠|坍缩|钧势|沙涌|流沙|抛石|泥浆铠甲|徒长|引燃|蓄水|虹光冲击|跺地|霜降|升龙咆哮|麻痹|毒孢子|假寐|化劲|羽化加速|甜心续航|勾魂|贪婪|啮合传递|念力膨胀|防御|取念|鼓劲|晒太阳|蓄势待发|恶作剧|灵媒|灵光|嘲弄|空间压迫|四维降解|多维击打|超维投射|心灵洞悉|二律背反,二律背反|取念|嘲弄|四维降解|多维击打|应激反应|心灵洞悉|恶作剧|晒太阳|灵光|灵媒|空间压迫|蓄势待发|超维投射|防御|鼓劲,,草|水|冰|机械|幽|虫,普通|火|翼|电|毒|幻,,https://wiki.biligame.com/rocom/仪式巨像,https://lokewangguoshijie.com/pokemon/NO.115_仪式巨像.webp
NO.116,小独角兽,光,Ⅰ阶,原始形态,79,48,129,62,74,84,目空,携带的非光系技能，威力+25%。,星星撞击|黑手|升龙咆哮|磁干扰|贯手|火爪|灵媒|荆棘爪|冰爪|尾后针|折线冲击|离子震荡|魅惑|针状物|跺地|毒沼|肥皂泡|风矢,魔法增效|许愿星|虹光冲击|防御|晒太阳|天光|伺机而动|过曝|漫反射|折射|快速移动|突袭|阻断|荆棘爪|火爪|肥皂泡|折线冲击|跺地|冰爪|升龙咆哮|磁干扰|毒沼|尾后针|贯手|风矢|魅惑|灵媒|黑手|离子震荡|针状物|复写|耀眼|倾泻|根吸收|叶绿光束|气泡|蓄水|极寒领域|冷风|速冻|超导|麻痹|远程访问|翼击|龙卷风|回旋风暴|羽化加速,倾泻|冷风|叶绿光束|回旋风暴|复写|极寒领域|根吸收|气泡|羽化加速|翼击|耀眼|蓄水|超导|远程访问|追打|速冻|麻痹|龙卷风,恶|幽,幽|草,恶|幻,草|冰,https://wiki.biligame.com/rocom/小独角兽,https://lokewangguoshijie.com/pokemon/NO.116_小独角兽.webp
NO.117,白金独角兽,光,最终形态,原始形态,99,61,161,77,92,105,目空,携带的非光系技能，威力+25%。,星星撞击|黑手|升龙咆哮|磁干扰|贯手|火爪|灵媒|荆棘爪|冰爪|尾后针|折线冲击|离子震荡|魅惑|针状物|跺地|毒沼|肥皂泡|风矢,魔法增效|许愿星|虹光冲击|防御|晒太阳|天光|伺机而动|过曝|漫反射|折射|快速移动|突袭|阻断|荆棘爪|火爪|肥皂泡|折线冲击|跺地|冰爪|升龙咆哮|磁干扰|毒沼|尾后针|贯手|风矢|魅惑|灵媒|黑手|离子震荡|针状物|复写|耀眼|倾泻|根吸收|叶绿光束|气泡|蓄水|极寒领域|冷风|速冻|超导|麻痹|远程访问|翼击|龙卷风|回旋风暴|羽化加速,倾泻|冷风|叶绿光束|回旋风暴|复写|极寒领域|根吸收|气泡|羽化加速|翼击|耀眼|蓄水|超导|远程访问|追打|速冻|麻痹|龙卷风,恶|幽,幽|草,恶|幻,草|冰,https://wiki.biligame.com/rocom/白金独角兽,https://lokewangguoshijie.com/pokemon/NO.117_白金独角兽.webp
NO.118,旋叶虫（金黄的样子）,普通|虫,Ⅰ阶,原始形态,56,15,65,63,55,72,共鸣,携带的【虫鸣】技能威力+20。,星星撞击|黑手|升龙咆哮|磁干扰|贯手|火爪|灵媒|荆棘爪|冷风|尾后针|虹光冲击|离子震荡|魅惑|针状物|跺地|毒沼|肥皂泡|风矢,聒噪|拍击|虫网|防御|假寐|虫鸣|摇篮曲|音波弹|虫蛊|魔能爆|触底强击|追打|荆棘爪|火爪|肥皂泡|虹光冲击|跺地|冷风|升龙咆哮|磁干扰|毒沼|尾后针|贯手|风矢|魅惑|灵媒|黑手|离子震荡|针状物|伺机而动|主场优势|棘刺|复写|三连破|热身运动|倾泻|盛开|根吸收|花香|飞断|翅刃|大爆炸,三连破|主场优势|伺机而动|倾泻|复写|大爆炸|根吸收|棘刺|热身运动|盛开|翅刃|花香|阻断|飞断,,火|翼,幽|草,,https://wiki.biligame.com/rocom/旋叶虫（金黄的样子）,https://lokewangguoshijie.com/pokemon/NO.118_旋叶虫（金黄的样子）.webp
NO.119,蓬叶虫（金黄的样子）,普通|虫,Ⅱ阶,原始形态,74,19,87,84,73,96,共鸣,携带的【虫鸣】技能威力+20。,星星撞击|黑手|升龙咆哮|磁干扰|贯手|火爪|灵媒|荆棘爪|冷风|尾后针|虹光冲击|离子震荡|魅惑|针状物|跺地|毒沼|肥皂泡|风矢,聒噪|拍击|虫网|防御|假寐|虫鸣|摇篮曲|音波弹|虫蛊|魔能爆|触底强击|追打|荆棘爪|火爪|肥皂泡|虹光冲击|跺地|冷风|升龙咆哮|磁干扰|毒沼|尾后针|贯手|风矢|魅惑|灵媒|黑手|离子震荡|针状物|伺机而动|主场优势|棘刺|复写|三连破|热身运动|倾泻|盛开|根吸收|花香|飞断|翅刃|大爆炸,三连破|主场优势|伺机而动|倾泻|复写|大爆炸|根吸收|棘刺|热身运动|盛开|翅刃|花香|阻断|飞断,,火|翼,幽|草,,https://wiki.biligame.com/rocom/蓬叶虫（金黄的样子）,https://lokewangguoshijie.com/pokemon/NO.119_蓬叶虫（金黄的样子）.webp
NO.120,风滚暮虫（金黄的样子）,普通|虫,最终形态,原始形态,93,24,109,105,91,120,共鸣,携带的【虫鸣】技能威力+20。,星星撞击|黑手|升龙咆哮|磁干扰|贯手|火爪|灵媒|荆棘爪|冷风|尾后针|虹光冲击|离子震荡|魅惑|针状物|跺地|毒沼|肥皂泡|风矢,聒噪|拍击|虫网|防御|假寐|虫鸣|摇篮曲|音波弹|虫蛊|魔能爆|触底强击|追打|荆棘爪|火爪|肥皂泡|虹光冲击|跺地|冷风|升龙咆哮|磁干扰|毒沼|尾后针|贯手|风矢|魅惑|灵媒|黑手|离子震荡|针状物|伺机而动|主场优势|棘刺|复写|三连破|热身运动|倾泻|盛开|根吸收|花香|飞断|翅刃|大爆炸,三连破|主场优势|伺机而动|倾泻|复写|大爆炸|根吸收|棘刺|热身运动|盛开|翅刃|花香|阻断|飞断,,火|翼,幽|草,,https://wiki.biligame.com/rocom/风滚暮虫（金黄的样子）,https://lokewangguoshijie.com/pokemon/NO.120_风滚暮虫（金黄的样子）.webp
NO.121,小黑猫,普通,Ⅰ阶,原始形态,121,72,130,54,95,56,预警,若敌方技能足够击败自己，回合开始时自己获得速度+50。,星星撞击|贪婪|升龙咆哮|麻痹|化劲|引燃|灵媒|徒长|霜降|假寐|虹光冲击|啮合传递|甜心续航|念力膨胀|泥浆铠甲|毒孢子|蓄水|羽翼庇护,魔法增效|防御|拍击|许愿星|伺机而动|音爆|聒噪|嗜痛|乱打|主场优势|彗星|精神扰乱|快速移动|徒长|引燃|蓄水|虹光冲击|泥浆铠甲|霜降|升龙咆哮|麻痹|毒孢子|假寐|化劲|羽翼庇护|甜心续航|灵媒|贪婪|啮合传递|念力膨胀|操控|无畏之心|借用|热身运动|晒太阳|摇篮曲|风起|羽化加速|恐吓|午夜噪音|嘲弄|勾魂,借用|勾魂|午夜噪音|嘲弄|恐吓|摇篮曲|操控|无畏之心|晒太阳|热身运动|羽化加速|风起|魔能爆,,武,幽,幽|机械|地,https://wiki.biligame.com/rocom/小黑猫,https://lokewangguoshijie.com/pokemon/NO.121_小黑猫.webp
NO.122,黑猫巫师,普通,最终形态,原始形态,152,91,163,67,119,70,预警,若敌方技能足够击败自己，回合开始时自己获得速度+50。,星星撞击|贪婪|升龙咆哮|麻痹|化劲|引燃|灵媒|徒长|霜降|假寐|虹光冲击|啮合传递|甜心续航|念力膨胀|泥浆铠甲|毒孢子|蓄水|羽翼庇护,魔法增效|防御|拍击|许愿星|伺机而动|音爆|聒噪|嗜痛|乱打|主场优势|彗星|精神扰乱|快速移动|徒长|引燃|蓄水|虹光冲击|泥浆铠甲|霜降|升龙咆哮|麻痹|毒孢子|假寐|化劲|羽翼庇护|甜心续航|灵媒|贪婪|啮合传递|念力膨胀|操控|无畏之心|借用|热身运动|晒太阳|摇篮曲|风起|羽化加速|恐吓|午夜噪音|嘲弄|勾魂,借用|勾魂|午夜噪音|嘲弄|恐吓|摇篮曲|操控|无畏之心|晒太阳|热身运动|羽化加速|风起|魔能爆,,武,幽,幽|机械|地,https://wiki.biligame.com/rocom/黑猫巫师,https://lokewangguoshijie.com/pokemon/NO.122_黑猫巫师.webp
NO.123,忽幽狸,幽|毒,Ⅰ阶,原始形态,78,87,84,84,56,104,下黑手,敌方精灵离场后，更换入场的精灵获得5层中毒。,猛烈撞击|恶能量|升龙咆哮|球状闪电|缠丝劲|火焰冲锋|灵媒|花香|冰爪|噬心|透射|械斗|碰爪|星云漩涡|跺地|毒沼|泡沫|风矢,毒针|鬼火|力量增效|抓挠|勾魂|连续毒针|幻象|毒液渗透|降灵|幽灵爆发|坟场搏击|剧毒|疫病吐息|惊吓盒子|毒囊|花香|火焰冲锋|泡沫|透射|跺地|冰爪|升龙咆哮|球状闪电|毒沼|噬心|缠丝劲|风矢|碰爪|灵媒|恶能量|械斗|星云漩涡|防御|取念|先发制人|热身运动|感染病|毒孢子|鸩毒|反击拳|化劲|破绽|嘲弄|暗突袭|欺诈契约|恶意逃离|黑手|诋毁,先发制人|化劲|反击拳|取念|嘲弄|恶意逃离|感染病|暗突袭|欺诈契约|毒孢子|热身运动|破绽|诋毁|连续爪击|防御|鸩毒|黑手,,光|幽|恶|地|幻,普通|毒|虫|武|草|萌,,https://wiki.biligame.com/rocom/忽幽狸,https://lokewangguoshijie.com/pokemon/NO.123_忽幽狸.webp
NO.124,影狸,幽|毒,最终形态,原始形态,97,109,105,105,70,130,下黑手,敌方精灵离场后，更换入场的精灵获得5层中毒。,猛烈撞击|恶能量|升龙咆哮|球状闪电|缠丝劲|火焰冲锋|灵媒|花香|冰爪|噬心|透射|械斗|碰爪|星云漩涡|跺地|毒沼|泡沫|风矢,毒针|鬼火|力量增效|抓挠|勾魂|连续毒针|幻象|毒液渗透|降灵|幽灵爆发|坟场搏击|剧毒|疫病吐息|惊吓盒子|毒囊|花香|火焰冲锋|泡沫|透射|跺地|冰爪|升龙咆哮|球状闪电|毒沼|噬心|缠丝劲|风矢|碰爪|灵媒|恶能量|械斗|星云漩涡|防御|取念|先发制人|热身运动|感染病|毒孢子|鸩毒|反击拳|化劲|破绽|嘲弄|暗突袭|欺诈契约|恶意逃离|黑手|诋毁,先发制人|化劲|反击拳|取念|嘲弄|恶意逃离|感染病|暗突袭|欺诈契约|毒孢子|热身运动|破绽|诋毁|连续爪击|防御|鸩毒|黑手,,光|幽|恶|地|幻,普通|毒|虫|武|草|萌,,https://wiki.biligame.com/rocom/影狸,https://lokewangguoshijie.com/pokemon/NO.124_影狸.webp
NO.125,多多,毒|地,Ⅰ阶,原始形态,47,53,53,82,66,54,毒牙,使敌方获得中毒时，也会使其获得魔攻和魔防-40%。,防反|等价交换|升龙咆哮|集中|反击拳|火焰护盾|虚化|蜡质膜|雪替身|尾后针|虹光冲击|离子震荡|魅惑|冥想|跺地|毒孢子|水泡盾|风墙,以毒攻毒|溃烂触碰|不可接触|扬沙|石肤术|腐蚀酸液|落井下毒|防御|旋转突击|毒沼|壁垒|陨石|石锁|毒囊|鸩毒|地陷|蜡质膜|火焰护盾|水泡盾|虹光冲击|跺地|雪替身|升龙咆哮|集中|毒孢子|尾后针|反击拳|风墙|魅惑|虚化|等价交换|离子震荡|冥想|激怒|退化|复写|热身运动|嗜痛|吓退|倾泻|岩土暴击|刺盾|硬化|遁地|感染病|鞭打|撒娇|捧杀,倾泻|刺盾|吓退|嗜痛|复写|岩土暴击|感染病|捧杀|撒娇|激怒|热身运动|硬化|退化|遁地|鞭打|音爆,,地|恶|幻|水|冰|机械,毒|虫|萌|普通|火|翼|电,,https://wiki.biligame.com/rocom/多多,https://lokewangguoshijie.com/pokemon/NO.125_多多.webp
NO.126,多啦多,毒|地,Ⅱ阶,原始形态,63,70,70,109,88,72,毒牙,使敌方获得中毒时，也会使其获得魔攻和魔防-40%。,防反|等价交换|升龙咆哮|集中|反击拳|火焰护盾|虚化|蜡质膜|雪替身|尾后针|虹光冲击|离子震荡|魅惑|冥想|跺地|毒孢子|水泡盾|风墙,以毒攻毒|溃烂触碰|不可接触|扬沙|石肤术|腐蚀酸液|落井下毒|防御|旋转突击|毒沼|壁垒|陨石|石锁|毒囊|鸩毒|地陷|蜡质膜|火焰护盾|水泡盾|虹光冲击|跺地|雪替身|升龙咆哮|集中|毒孢子|尾后针|反击拳|风墙|魅惑|虚化|等价交换|离子震荡|冥想|激怒|退化|复写|热身运动|嗜痛|吓退|倾泻|岩土暴击|刺盾|硬化|遁地|感染病|鞭打|撒娇|捧杀,倾泻|刺盾|吓退|嗜痛|复写|岩土暴击|感染病|捧杀|撒娇|激怒|热身运动|硬化|退化|遁地|鞭打|音爆,,地|恶|幻|水|冰|机械,毒|虫|萌|普通|火|翼|电,,https://wiki.biligame.com/rocom/多啦多,https://lokewangguoshijie.com/pokemon/NO.126_多啦多.webp
NO.127,古啦多,毒|地,最终形态,原始形态,79,88,88,136,110,90,毒牙,使敌方获得中毒时，也会使其获得魔攻和魔防-40%。,防反|等价交换|升龙咆哮|集中|反击拳|火焰护盾|虚化|蜡质膜|雪替身|尾后针|虹光冲击|离子震荡|魅惑|冥想|跺地|毒孢子|水泡盾|风墙,以毒攻毒|溃烂触碰|不可接触|扬沙|石肤术|腐蚀酸液|落井下毒|防御|旋转突击|毒沼|壁垒|陨石|石锁|毒囊|鸩毒|地陷|蜡质膜|火焰护盾|水泡盾|虹光冲击|跺地|雪替身|升龙咆哮|集中|毒孢子|尾后针|反击拳|风墙|魅惑|虚化|等价交换|离子震荡|冥想|激怒|退化|复写|热身运动|嗜痛|吓退|倾泻|岩土暴击|刺盾|硬化|遁地|感染病|鞭打|撒娇|捧杀,倾泻|刺盾|吓退|嗜痛|复写|岩土暴击|感染病|捧杀|撒娇|激怒|热身运动|硬化|退化|遁地|鞭打|音爆,,地|恶|幻|水|冰|机械,毒|虫|萌|普通|火|翼|电,,https://wiki.biligame.com/rocom/古啦多,https://lokewangguoshijie.com/pokemon/NO.127_古啦多.webp
NO.128,哭哭菇,幻,Ⅰ阶,原始形态,74,38,41,30,60,36,吸积盘,回合结束时，敌方获得2层星陨印记。,防反|等价交换|升龙咆哮|集中|反击拳|火焰护盾|虚化|蜡质膜|雪替身|掩护|虹光冲击|离子震荡|魅惑|念力膨胀|淤泥表皮|毒沼|水弹枪|羽翼庇护,防御|耀眼|偷师|星云漩涡|星链|针状物|嗜痛|当头棒喝|触底强击|血气|多维击打|四维降解|冥想|错乱|突袭|蜡质膜|火焰护盾|水弹枪|虹光冲击|淤泥表皮|雪替身|升龙咆哮|集中|毒沼|掩护|反击拳|羽翼庇护|魅惑|虚化|等价交换|离子震荡|念力膨胀|无畏之心|复写|先发制人|热身运动|吓退|藤绞|酶浓度调整|汲取|顶端优势|花炮|纤维化|报复|恐吓|幻象|心灵洞悉,休息回复|先发制人|吓退|复写|幻象|心灵洞悉|恐吓|报复|无畏之心|汲取|热身运动|纤维化|花炮|藤绞|酶浓度调整|顶端优势,毒|武,幽|虫,武|幻,光|机械|幻,https://wiki.biligame.com/rocom/哭哭菇,https://lokewangguoshijie.com/pokemon/NO.128_哭哭菇.webp
NO.129,怖须菇,幻,Ⅱ阶,原始形态,99,50,55,40,80,48,吸积盘,回合结束时，敌方获得2层星陨印记。,防反|等价交换|升龙咆哮|集中|反击拳|火焰护盾|虚化|蜡质膜|雪替身|掩护|虹光冲击|离子震荡|魅惑|念力膨胀|淤泥表皮|毒沼|水弹枪|羽翼庇护,防御|耀眼|偷师|星云漩涡|星链|针状物|嗜痛|当头棒喝|触底强击|血气|多维击打|四维降解|冥想|错乱|突袭|蜡质膜|火焰护盾|水弹枪|虹光冲击|淤泥表皮|雪替身|升龙咆哮|集中|毒沼|掩护|反击拳|羽翼庇护|魅惑|虚化|等价交换|离子震荡|念力膨胀|无畏之心|复写|先发制人|热身运动|吓退|藤绞|酶浓度调整|汲取|顶端优势|花炮|纤维化|报复|恐吓|幻象|心灵洞悉,休息回复|先发制人|吓退|复写|幻象|心灵洞悉|恐吓|报复|无畏之心|汲取|热身运动|纤维化|花炮|藤绞|酶浓度调整|顶端优势,毒|武,幽|虫,武|幻,光|机械|幻,https://wiki.biligame.com/rocom/怖须菇,https://lokewangguoshijie.com/pokemon/NO.129_怖须菇.webp
NO.130,怖哭菇,幻,最终形态,原始形态,124,63,69,50,100,60,吸积盘,回合结束时，敌方获得2层星陨印记。,防反|等价交换|升龙咆哮|集中|反击拳|火焰护盾|虚化|蜡质膜|雪替身|掩护|虹光冲击|离子震荡|魅惑|念力膨胀|淤泥表皮|毒沼|水弹枪|羽翼庇护,防御|耀眼|偷师|星云漩涡|星链|针状物|嗜痛|当头棒喝|触底强击|血气|多维击打|四维降解|冥想|错乱|突袭|蜡质膜|火焰护盾|水弹枪|虹光冲击|淤泥表皮|雪替身|升龙咆哮|集中|毒沼|掩护|反击拳|羽翼庇护|魅惑|虚化|等价交换|离子震荡|念力膨胀|无畏之心|复写|先发制人|热身运动|吓退|藤绞|酶浓度调整|汲取|顶端优势|花炮|纤维化|报复|恐吓|幻象|心灵洞悉,休息回复|先发制人|吓退|复写|幻象|心灵洞悉|恐吓|报复|无畏之心|汲取|热身运动|纤维化|花炮|藤绞|酶浓度调整|顶端优势,毒|武,幽|虫,武|幻,光|机械|幻,https://wiki.biligame.com/rocom/怖哭菇,https://lokewangguoshijie.com/pokemon/NO.130_怖哭菇.webp
NO.131,恶魔狼,恶,最终形态,原始形态,115,114,45,91,63,120,悲悯,己方队伍中每有1只力竭的精灵，自己获得双攻+30%。,星星撞击|诋毁|升龙咆哮|球状闪电|缠丝劲|火焰箭|灵媒|花香|冰爪|噬心|透射|械斗|碰爪|星云漩涡|跺地|毒沼|泡沫|风矢,蝙蝠|撕咬|贪婪|力量增效|防御|先发制人|伪造账单|趁火打劫|力量吞噬|暗突袭|恶意逃离|撕裂|彼岸之手|花香|火焰箭|泡沫|透射|跺地|冰爪|升龙咆哮|球状闪电|毒沼|噬心|缠丝劲|风矢|碰爪|灵媒|诋毁|械斗|星云漩涡|借用|当头棒喝|晒太阳|有效预防|闪燃|火焰切割|怒火|龙之利爪|惊吓盒子|坟场搏击|诡刺|勾魂,借用|偷袭|勾魂|吞噬|坟场搏击|应激反应|当头棒喝|怒火|惊吓盒子|晒太阳|有效预防|火焰切割|诡刺|闪燃|龙之利爪,毒|萌|幽,光|虫|武|萌,幽|龙,光|武|恶,https://wiki.biligame.com/rocom/恶魔狼,https://lokewangguoshijie.com/pokemon/NO.131_恶魔狼.webp
NO.132,小电企鹅,冰|电,Ⅰ阶,原始形态,75,45,101,59,87,100,超负荷,攻击技能获得迸发：敌方获得全技能能耗+1。,防反|等价交换|升龙咆哮|触电|缠丝劲|火焰护盾|灵媒|蜡质膜|霜降|掩护|虹光冲击|械斗|碰爪|冥想|跺地|溃烂触碰|蓄水|羽翼庇护,风吹雪|超导加速|聒噪|寒风吹|防御|电流|霜冻|冰锋横扫|增程电池|感电|雾气环绕|落雷|极寒领域|蜡质膜|火焰护盾|蓄水|虹光冲击|跺地|霜降|升龙咆哮|触电|溃烂触碰|掩护|缠丝劲|羽翼庇护|碰爪|灵媒|等价交换|械斗|冥想|突袭|阻断|魔法增效|取念|许愿星|埋伏|摇篮曲|肥皂泡|杠杆置换|金属噪音|冰点|过载回路|强制重启,冰点|取念|埋伏|强制重启|摇篮曲|杠杆置换|突袭|肥皂泡|许愿星|过载回路|金属噪音|阻断|音爆|魔法增效,,火|武|地,水|冰|光|电|翼,,https://wiki.biligame.com/rocom/小电企鹅,https://lokewangguoshijie.com/pokemon/NO.132_小电企鹅.webp
NO.133,电企鹅,冰|电,最终形态,原始形态,94,56,126,73,109,125,超负荷,攻击技能获得迸发：敌方获得全技能能耗+1。,防反|等价交换|升龙咆哮|触电|缠丝劲|火焰护盾|灵媒|蜡质膜|霜降|掩护|虹光冲击|械斗|碰爪|冥想|跺地|溃烂触碰|蓄水|羽翼庇护,风吹雪|超导加速|聒噪|寒风吹|防御|电流|霜冻|冰锋横扫|增程电池|感电|雾气环绕|落雷|极寒领域|蜡质膜|火焰护盾|蓄水|虹光冲击|跺地|霜降|升龙咆哮|触电|溃烂触碰|掩护|缠丝劲|羽翼庇护|碰爪|灵媒|等价交换|械斗|冥想|突袭|阻断|魔法增效|取念|许愿星|埋伏|摇篮曲|肥皂泡|杠杆置换|金属噪音|冰点|过载回路|强制重启,冰点|取念|埋伏|强制重启|摇篮曲|杠杆置换|突袭|肥皂泡|许愿星|过载回路|金属噪音|阻断|音爆|魔法增效,,火|武|地,水|冰|光|电|翼,,https://wiki.biligame.com/rocom/电企鹅,https://lokewangguoshijie.com/pokemon/NO.133_电企鹅.webp
NO.134,雪豆丁,冰,Ⅰ阶,原始形态,97,104,47,83,62,36,打雪仗,初始能量为0，入场前己方精灵每放1次冰系技能，回复3能量。,防反|等价交换|升龙咆哮|集中|贯手|火焰护盾|虚化|蜡质膜|冰爪|掩护|透射|械斗|碰爪|冥想|淤泥表皮|溃烂触碰|水泡盾|羽翼庇护,防御|冰锥|雪球|先发制人|霜天|丢冰块|雪替身|暴风雪|冰晶坠|冰墙|冰雹|冰蛋壳|冰天雪地|蜡质膜|火焰护盾|水泡盾|透射|淤泥表皮|冰爪|升龙咆哮|集中|溃烂触碰|掩护|贯手|羽翼庇护|碰爪|虚化|等价交换|械斗|冥想|力量增效|无畏之心|取念|压扁|有效预防|一拳|防御反击|惊吓盒子|降灵|报复|诡刺|幻象,一拳|偷袭|力量增效|压扁|取念|幻象|惊吓盒子|报复|无畏之心|有效预防|诡刺|防御反击|降灵,草|地|龙|翼,火|武|地|机械,水|冰|光,火|冰|机械,https://wiki.biligame.com/rocom/雪豆丁,https://lokewangguoshijie.com/pokemon/NO.134_雪豆丁.webp
NO.135,雪蛮人,冰,Ⅱ阶,原始形态,130,139,63,111,83,48,打雪仗,初始能量为0，入场前己方精灵每放1次冰系技能，回复3能量。,防反|等价交换|升龙咆哮|集中|贯手|火焰护盾|虚化|蜡质膜|冰爪|掩护|透射|械斗|碰爪|冥想|淤泥表皮|溃烂触碰|水泡盾|羽翼庇护,防御|冰锥|雪球|先发制人|霜天|丢冰块|雪替身|暴风雪|冰晶坠|冰墙|冰雹|冰蛋壳|冰天雪地|蜡质膜|火焰护盾|水泡盾|透射|淤泥表皮|冰爪|升龙咆哮|集中|溃烂触碰|掩护|贯手|羽翼庇护|碰爪|虚化|等价交换|械斗|冥想|力量增效|无畏之心|取念|压扁|有效预防|一拳|防御反击|惊吓盒子|降灵|报复|诡刺|幻象,一拳|偷袭|力量增效|压扁|取念|幻象|惊吓盒子|报复|无畏之心|有效预防|诡刺|防御反击|降灵,草|地|龙|翼,火|武|地|机械,水|冰|光,火|冰|机械,https://wiki.biligame.com/rocom/雪蛮人,https://lokewangguoshijie.com/pokemon/NO.135_雪蛮人.webp
NO.136,雪巨人,冰,最终形态,原始形态,162,174,79,139,104,60,打雪仗,初始能量为0，入场前己方精灵每放1次冰系技能，回复3能量。,防反|等价交换|升龙咆哮|集中|贯手|火焰护盾|虚化|蜡质膜|冰爪|掩护|透射|械斗|碰爪|冥想|淤泥表皮|溃烂触碰|水泡盾|羽翼庇护,防御|冰锥|雪球|先发制人|霜天|丢冰块|雪替身|暴风雪|冰晶坠|冰墙|冰雹|冰蛋壳|冰天雪地|蜡质膜|火焰护盾|水泡盾|透射|淤泥表皮|冰爪|升龙咆哮|集中|溃烂触碰|掩护|贯手|羽翼庇护|碰爪|虚化|等价交换|械斗|冥想|力量增效|无畏之心|取念|压扁|有效预防|一拳|防御反击|惊吓盒子|降灵|报复|诡刺|幻象,一拳|偷袭|力量增效|压扁|取念|幻象|惊吓盒子|报复|无畏之心|有效预防|诡刺|防御反击|降灵,草|地|龙|翼,火|武|地|机械,水|冰|光,火|冰|机械,https://wiki.biligame.com/rocom/雪巨人,https://lokewangguoshijie.com/pokemon/NO.136_雪巨人.webp
